vector,score,level
"(1, 1, 1, 1, 1)",1.0,1
"(1, 1, 1, 1, 2)",1.08,1
"(1, 2, 1, 1, 1)",1.08,1
"(1, 1, 2, 1, 1)",1.08,1
"(2, 1, 1, 1, 1)",1.08,1
"(1, 1, 1, 2, 1)",1.08,1
"(1, 3, 1, 1, 1)",1.16,1
"(3, 1, 1, 1, 1)",1.16,1
"(1, 1, 1, 3, 1)",1.16,1
"(1, 1, 3, 1, 1)",1.16,1
"(1, 1, 1, 1, 3)",1.16,1
"(2, 1, 1, 1, 2)",1.2,1
"(1, 1, 2, 1, 2)",1.2,1
"(2, 1, 1, 2, 1)",1.2,1
"(2, 1, 2, 1, 1)",1.2,1
"(1, 1, 1, 2, 2)",1.2,1
"(1, 2, 2, 1, 1)",1.2,1
"(2, 2, 1, 1, 1)",1.2,1
"(1, 2, 1, 1, 2)",1.2,1
"(1, 1, 2, 2, 1)",1.2,1
"(1, 2, 1, 2, 1)",1.2,1
"(1, 1, 1, 1, 4)",1.24,1
"(1, 1, 1, 4, 1)",1.24,1
"(1, 1, 4, 1, 1)",1.24,1
"(1, 4, 1, 1, 1)",1.24,1
"(4, 1, 1, 1, 1)",1.24,1
"(1, 2, 1, 3, 1)",1.28,1
"(1, 1, 3, 2, 1)",1.28,1
"(1, 2, 1, 1, 3)",1.28,1
"(2, 1, 1, 1, 3)",1.28,1
"(3, 1, 2, 1, 1)",1.28,1
"(1, 3, 1, 1, 2)",1.28,1
"(1, 3, 1, 2, 1)",1.28,1
"(3, 1, 1, 2, 1)",1.28,1
"(1, 1, 3, 1, 2)",1.28,1
"(1, 3, 2, 1, 1)",1.28,1
"(2, 3, 1, 1, 1)",1.28,1
"(2, 1, 3, 1, 1)",1.28,1
"(2, 1, 1, 3, 1)",1.28,1
"(1, 2, 3, 1, 1)",1.28,1
"(3, 1, 1, 1, 2)",1.28,1
"(3, 2, 1, 1, 1)",1.28,1
"(1, 1, 1, 3, 2)",1.28,1
"(1, 1, 2, 3, 1)",1.28,1
"(1, 1, 1, 2, 3)",1.28,1
"(1, 1, 2, 1, 3)",1.28,1
"(1, 1, 1, 1, 5)",1.32,1
"(5, 1, 1, 1, 1)",1.32,1
"(1, 1, 5, 1, 1)",1.32,1
"(1, 1, 1, 5, 1)",1.32,1
"(1, 5, 1, 1, 1)",1.32,1
"(1, 2, 2, 1, 2)",1.35,1
"(2, 1, 2, 2, 1)",1.35,1
"(1, 2, 2, 2, 1)",1.35,1
"(2, 2, 1, 2, 1)",1.35,1
"(1, 2, 1, 2, 2)",1.35,1
"(2, 1, 2, 1, 2)",1.35,1
"(2, 1, 1, 2, 2)",1.35,1
"(1, 1, 2, 2, 2)",1.35,1
"(2, 2, 2, 1, 1)",1.35,1
"(2, 2, 1, 1, 2)",1.35,1
"(1, 2, 1, 1, 4)",1.36,1
"(2, 1, 4, 1, 1)",1.36,1
