vector,score,level
"(1, 1, 1, 1, 1)",0.0,1
"(1, 1, 1, 1, 2)",0.19999999999999996,1
"(1, 1, 1, 1, 3)",0.3999999999999999,1
"(1, 1, 1, 1, 4)",0.6000000000000001,1
"(1, 1, 1, 1, 5)",0.8,1
"(1, 1, 1, 2, 1)",0.19999999999999996,1
"(1, 1, 1, 2, 2)",0.3999999999999999,1
"(1, 1, 1, 2, 3)",0.6000000000000001,1
"(1, 1, 1, 2, 4)",0.8,1
"(1, 1, 1, 2, 5)",1.0,1
"(1, 1, 1, 3, 1)",0.3999999999999999,1
"(1, 1, 1, 3, 2)",0.6000000000000001,1
"(1, 1, 1, 3, 3)",0.8,1
"(1, 1, 1, 3, 4)",1.0,1
"(1, 1, 1, 3, 5)",1.2000000000000002,1
"(1, 1, 1, 4, 1)",0.6000000000000001,1
"(1, 1, 1, 4, 2)",0.8,1
"(1, 1, 1, 4, 3)",1.0,1
"(1, 1, 1, 4, 4)",1.2000000000000002,1
"(1, 1, 1, 4, 5)",1.4,1
"(1, 1, 1, 5, 1)",0.8,1
"(1, 1, 1, 5, 2)",1.0,1
"(1, 1, 1, 5, 3)",1.2000000000000002,1
"(1, 1, 1, 5, 4)",1.4,1
"(1, 1, 1, 5, 5)",1.6,2
"(1, 1, 2, 1, 1)",0.19999999999999996,1
"(1, 1, 2, 1, 2)",0.3999999999999999,1
"(1, 1, 2, 1, 3)",0.6000000000000001,1
"(1, 1, 2, 1, 4)",0.8,1
"(1, 1, 2, 1, 5)",1.0,1
"(1, 1, 2, 2, 1)",0.3999999999999999,1
"(1, 1, 2, 2, 2)",0.6000000000000001,1
"(1, 1, 2, 2, 3)",0.8,1
"(1, 1, 2, 2, 4)",1.0,1
"(1, 1, 2, 2, 5)",1.2000000000000002,1
"(1, 1, 2, 3, 1)",0.6000000000000001,1
"(1, 1, 2, 3, 2)",0.8,1
"(1, 1, 2, 3, 3)",1.0,1
"(1, 1, 2, 3, 4)",1.2000000000000002,1
"(1, 1, 2, 3, 5)",1.4,1
"(1, 1, 2, 4, 1)",0.8,1
"(1, 1, 2, 4, 2)",1.0,1
"(1, 1, 2, 4, 3)",1.2000000000000002,1
"(1, 1, 2, 4, 4)",1.4,1
"(1, 1, 2, 4, 5)",1.6,2
"(1, 1, 2, 5, 1)",1.0,1
"(1, 1, 2, 5, 2)",1.2000000000000002,1
"(1, 1, 2, 5, 3)",1.4,1
"(1, 1, 2, 5, 4)",1.6,2
"(1, 1, 2, 5, 5)",1.7999999999999998,2
"(1, 1, 3, 1, 1)",0.3999999999999999,1
"(1, 1, 3, 1, 2)",0.6000000000000001,1
"(1, 1, 3, 1, 3)",0.8,1
"(1, 1, 3, 1, 4)",1.0,1
"(1, 1, 3, 1, 5)",1.2000000000000002,1
"(1, 1, 3, 2, 1)",0.6000000000000001,1
"(1, 1, 3, 2, 2)",0.8,1
"(1, 1, 3, 2, 3)",1.0,1
"(1, 1, 3, 2, 4)",1.2000000000000002,1
"(1, 1, 3, 2, 5)",1.4,1
"(1, 1, 3, 3, 1)",0.8,1
"(1, 1, 3, 3, 2)",1.0,1
"(1, 1, 3, 3, 3)",1.2000000000000002,1
"(1, 1, 3, 3, 4)",1.4,1
"(1, 1, 3, 3, 5)",1.6,2
"(1, 1, 3, 4, 1)",1.0,1
"(1, 1, 3, 4, 2)",1.2000000000000002,1
"(1, 1, 3, 4, 3)",1.4,1
"(1, 1, 3, 4, 4)",1.6,2
"(1, 1, 3, 4, 5)",1.7999999999999998,2
"(1, 1, 3, 5, 1)",1.2000000000000002,1
"(1, 1, 3, 5, 2)",1.4,1
"(1, 1, 3, 5, 3)",1.6,2
"(1, 1, 3, 5, 4)",1.7999999999999998,2
"(1, 1, 3, 5, 5)",2.0,2
"(1, 1, 4, 1, 1)",0.6000000000000001,1
"(1, 1, 4, 1, 2)",0.8,1
"(1, 1, 4, 1, 3)",1.0,1
"(1, 1, 4, 1, 4)",1.2000000000000002,1
"(1, 1, 4, 1, 5)",1.4,1
"(1, 1, 4, 2, 1)",0.8,1
"(1, 1, 4, 2, 2)",1.0,1
"(1, 1, 4, 2, 3)",1.2000000000000002,1
"(1, 1, 4, 2, 4)",1.4,1
"(1, 1, 4, 2, 5)",1.6,2
"(1, 1, 4, 3, 1)",1.0,1
"(1, 1, 4, 3, 2)",1.2000000000000002,1
"(1, 1, 4, 3, 3)",1.4,1
"(1, 1, 4, 3, 4)",1.6,2
